date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:57	372/372	---M-Z	200	added ('OK')	application/javascript	etag:%22174-5df2e81520a82-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/timeline.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/timeline.init.js	(from https://themesdesign.in/symox-node/layouts/pages-timeline.html)
13:19:58	509/509	---M-Z	200	added ('OK')	application/javascript	etag:%221fd-5df2e8151cc02-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/alert.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/alert.init.js	(from https://themesdesign.in/symox-node/layouts/ui-alerts.html)
13:19:59	16412/16412	---M--	200	added ('OK')	image/jpeg	etag:%22401c-5df2e8151bc62%22	https://themesdesign.in/symox-node/layouts/assets/images/small/img-7.jpg	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/images/small/img-7.jpg	(from https://themesdesign.in/symox-node/layouts/ui-cards.html)
13:19:59	11219/11219	---M--	200	added ('OK')	image/jpeg	etag:%222bd3-5df2e8151bc62%22	https://themesdesign.in/symox-node/layouts/assets/images/small/img-6.jpg	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/images/small/img-6.jpg	(from https://themesdesign.in/symox-node/layouts/ui-cards.html)
13:19:59	24103/24103	---M-Z	200	added ('OK')	application/javascript	etag:%225e27-5df2e81566f83-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/masonry-layout/masonry.pkgd.min.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/masonry-layout/masonry.pkgd.min.js	(from https://themesdesign.in/symox-node/layouts/ui-cards.html)
13:19:59	311/311	---M-Z	200	added ('OK')	application/javascript	etag:%22137-5df2e81520a82-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/modal.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/modal.init.js	(from https://themesdesign.in/symox-node/layouts/ui-modals.html)
13:20:00	569156/569156	---M--	200	added ('OK')	image/png	etag:%228af44-5df2e814fe7a2%22	https://themesdesign.in/symox-node/layouts/assets/images/500-img.png	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/images/500-img.png	(from https://themesdesign.in/symox-node/layouts/pages-500.html)
13:20:00	565360/565360	---M--	200	added ('OK')	image/png	etag:%228a070-5df2e814fc862%22	https://themesdesign.in/symox-node/layouts/assets/images/404-img.png	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/images/404-img.png	(from https://themesdesign.in/symox-node/layouts/pages-404.html)
13:20:00	13775/13775	---M-Z	200	added ('OK')	text/css	etag:%2235cf-5df2e81555643-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/glightbox/css/glightbox.min.css	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/glightbox/css/glightbox.min.css	(from https://themesdesign.in/symox-node/layouts/extended-lightbox.html)
13:20:01	184/184	---M-Z	200	added ('OK')	application/javascript	etag:%22b8-5df2e8151eb42-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/lightbox.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/lightbox.init.js	(from https://themesdesign.in/symox-node/layouts/extended-lightbox.html)
13:20:01	3889/3889	---M-Z	200	added ('OK')	application/javascript	etag:%22f31-5df2e81520a82-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/rangeslider.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/rangeslider.init.js	(from https://themesdesign.in/symox-node/layouts/extended-rangeslider.html)
13:20:01	54762/54762	---M-Z	200	added ('OK')	application/javascript	etag:%22d5ea-5df2e81555643-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/glightbox/js/glightbox.min.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/glightbox/js/glightbox.min.js	(from https://themesdesign.in/symox-node/layouts/extended-lightbox.html)
13:20:01	22666/22666	---M-Z	200	added ('OK')	text/css	etag:%22588a-5df2e81576983-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/sweetalert2/sweetalert2.min.css	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/sweetalert2/sweetalert2.min.css	(from https://themesdesign.in/symox-node/layouts/extended-sweet-alert.html)
13:20:02	3859/3859	---M-Z	200	added ('OK')	application/javascript	etag:%22f13-5df2e81520a82-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/sweet-alerts.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/sweet-alerts.init.js	(from https://themesdesign.in/symox-node/layouts/extended-sweet-alert.html)
13:20:02	41099/41099	---M-Z	200	added ('OK')	application/javascript	etag:%22a08b-5df2e81576983-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/sweetalert2/sweetalert2.min.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/sweetalert2/sweetalert2.min.js	(from https://themesdesign.in/symox-node/layouts/extended-sweet-alert.html)
13:20:02	14022/14022	---M-Z	200	added ('OK')	application/javascript	etag:%2236c6-5df2e81572b03-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/rater-js/index.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/rater-js/index.js	(from https://themesdesign.in/symox-node/layouts/extended-rating.html)
13:20:02	1323/1323	---M-Z	200	added ('OK')	application/javascript	etag:%2252b-5df2e81520a82-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/rating.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/rating.init.js	(from https://themesdesign.in/symox-node/layouts/extended-rating.html)
13:20:03	21412/21412	---M-Z	200	added ('OK')	text/css	etag:%2253a4-5df2e8152a6c3-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/alertifyjs/build/css/alertify.min.css	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/alertifyjs/build/css/alertify.min.css	(from https://themesdesign.in/symox-node/layouts/extended-notifications.html)
13:20:03	1570/1570	---M-Z	200	added ('OK')	text/css	etag:%22622-5df2e8152b663-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/alertifyjs/build/css/themes/default.min.css	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/alertifyjs/build/css/themes/default.min.css	(from https://themesdesign.in/symox-node/layouts/extended-notifications.html)
